id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
1,1,"Stree 2",856.94,597.8,712.94,144,100,"All Time Blockbuster"
2,2,Jawan,1160,582.31,760,400,300,"All Time Blockbuster"
3,3,"Gadar 2",686,525.7,620.5,65.5,75,"All Time Blockbuster"
4,4,Pathaan,1055,524.53,657.5,397.5,250,"All Time Blockbuster"
5,5,"Baahubali 2  The Conclusion",1788.06,510.99,1416.9,371.16,250,"All Time Blockbuster"
6,6,Animal,915,502.98,660,255,200,"All Time Blockbuster"
7,7,"KGF Chapter 2",1215,435.33,1000.85,214.15,100,"All Time Blockbuster"
8,8,Dangal,2070.3,374.43,535,1535.3,70,"All Time Blockbuster"
9,9,Sanju,588.5,342.57,438.5,150,100,"All Time Blockbuster"
10,10,PK,792,340.8,489,303,85,"All Time Blockbuster"
11,11,"Tiger Zinda Hai",558,339.16,433.77,124.23,210,Blockbuster
12,12,"Bajrangi Bhaijaan",922.03,320.34,432.46,489.57,90,"All Time Blockbuster"
13,13,War,471,303.34,375,96,150,Blockbuster
14,14,Padmaavat,585,302.15,400,185,215,Blockbuster
15,15,Sultan,627.82,300.45,421.25,206.57,80,Blockbuster
16,16,"Kalki 2898 AD",1042.25,293.13,767.25,275,600,Blockbuster
17,17,"Kabir Singh",377,278.8,330,47,55,"All Time Blockbuster"
18,18,"Tanhaji: The Unsung Warrior",361,277.75,325,36,150,Blockbuster
19,19,"Tiger 3",464,276.62,339.5,124.5,300,Hit
20,20,RRR,1230,272.78,915.85,314.15,550,Blockbuster
21,21,"Dhoom 3",558,271.07,372,186,175,"All Time Blockbuster"
22,22,"The Kashmir Files",341,252.25,295,46,20,"All Time Blockbuster"
23,23,"Brahmastra Part One: Shiva",431,247.37,315.5,115.5,350,Hit
24,24,"URI The Surgical Strike",341.75,244.14,293.75,48,70,"All Time Blockbuster"
25,25,Simmba,390,240.3,295,95,90,Blockbuster
26,26,"Drishyam 2",342.31,239.67,282.81,59.5,50,Blockbuster
27,27,"The Kerala Story",302,239.05,286.5,15.5,15,"All Time Blockbuster"
28,28,Kick,378,231.85,310,68,100,SuperHit
29,29,"Krrish 3",374,231.79,313,61,94,Blockbuster
30,30,"Chennai Express",422,227.13,310,112,115,Blockbuster
31,31,Dunki,454,227,272,182,1,Hit
32,32,Fighter,358.89,212.79,254.89,104,1,Hit
33,33,Bharat,321,212.03,251,70,165,Hit
34,34,"Housefull 4",296,210.3,247,49,175,SuperHit
35,35,"Prem Ratan Dhan Payo",405.85,210.16,310,95.85,180,SuperHit
36,36,"Golmaal Again",308.62,205.69,262.88,45.74,80,Blockbuster
37,37,"Good Newwz",316,205.09,242,74,60,Blockbuster
38,38,"Mission Mangal",291,203.08,239,52,40,Blockbuster
39,39,"3 Idiots",460,202.47,274,186,55,"All Time Blockbuster"
40,40,"Happy New Year",397,199.95,295,102,150,SuperHit
41,41,"Ek Tha Tiger",320,198.78,263,57,75,Blockbuster
42,42,Sooryavanshi,293,195.55,230.8,62.2,180,Hit
43,43,2.0,744.78,190.48,551.5,193.28,543,Average
44,44,"Yeh Jawaani Hai Deewani",318,188.57,242,76,75,Blockbuster
45,45,"Bhool Bhulaiyaa 2",265.5,184.32,216.5,49,80,Blockbuster
